politybelligerent,modernctrylocation,newid,distance,conflict,conflictname,city,province,parliamentoflocation,cstart,cend,cduration,major,navalbattle,battletype,sideabelligerent1,sideabelligerent2,sideabelligerent3,sideabelligerent4,sidebbelligerent1,sidebbelligerent2,sidebbelligerent3,sidebbelligerent4,Belligerent.Allies,polityvictor,battledraw,victorname,belligerentvictor,parlpresence,resources,notes,ac
France,England,377,375,1,flodden edge,branxton,northumberland,England,1513,1513,1,0,0,battle,England,,,,France,Scotland,,,1,1,0,England,0,1,"Clodfelter p. 17, ""Sixteenth Century - British Isles - Anglo-Scottish Wars 1513-14""","""King James deploy somed 30,000 men…drawn up in a strong defensive position on a hill called Flodden Edge….As darkness fell, the English held the field."" ",
France,France,378,376,1,therouanne,therouanne,pas-de-calais,France,1513,1513,1,0,0,siege,England,,,,France,,,,0,0,0,England,0,2,"Clodfelter p. 8, ""Sixteenth Century - Western Europe"" ",,
France,France,379,377,1,battle of the spurs (guinegate),enguinegatte,pas-de-calais,France,1513,1513,1,0,0,battle,England,,,,France,,,,0,0,0,England,0,2,"Clodfelter p. 8, ""Sixteenth Century - Western Europe"" ",,
Switzerland,Italy,380,378,1,first novara,novara,piemonte,Piedmont,1513,1513,1,1,0,siege,France,Venice,,,Switzerland,Milan,,,1,,0,"Switzerland, Milan",1,2,"Clodfelter p. 8, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Scotland,England,377,375,1,flodden edge,branxton,northumberland,England,1513,1513,1,0,0,battle,England,,,,France,Scotland,,,1,1,0,England,0,1,"Clodfelter p. 17, ""Sixteenth Century - British Isles - Anglo-Scottish Wars 1513-14""","""King James deploy somed 30,000 men…drawn up in a strong defensive position on a hill called Flodden Edge….As darkness fell, the English held the field."" ",
Milan,Italy,380,378,1,first novara,novara,piemonte,Piedmont,1513,1513,1,1,0,siege,France,Venice,,,Switzerland,Milan,,,1,,0,"Switzerland, Milan",1,2,"Clodfelter p. 8, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
France,Italy,383,381,1,marignano (melegnano),melegnano,lombardia,,1515,1515,1,1,0,battle,France,Venice,,,Switzerland,Milan,,,1,,0,"Milan, Switzerland",0,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Venice,Italy,383,381,1,marignano (melegnano),melegnano,lombardia,,1515,1515,1,1,0,battle,France,Venice,,,Switzerland,Milan,,,1,,0,"Milan, Switzerland",0,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Switzerland,Italy,383,381,1,marignano (melegnano),melegnano,lombardia,,1515,1515,1,1,0,battle,France,Venice,,,Switzerland,Milan,,,1,,0,"Milan, Switzerland",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Milan,Italy,383,381,1,marignano (melegnano),melegnano,lombardia,,1515,1515,1,1,0,battle,France,Venice,,,Switzerland,Milan,,,1,,0,"Milan, Switzerland",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Denmark,Sweden ,387,385,1,bogesand,ulricehamn,Sweden ,Sweden ,1520,1520,1,0,0,battle,Denmark,,,,Sweden,,,,0,0,0,Denmark,1,2,"Clodfelter p. 21, ""Sixteenth Century - Eastern Europe - Kalmar Civil War, 1520-23""",,
Denmark,sweden,387,385,1,bogesand,ulricehamn,sweden,sweden,1520,1520,1,0,0,battle,Denmark,,,,Sweden,,,,0,,0,Denmark,1,2,"Clodfelter p. 21, ""Sixteenth Century - Eastern Europe Kalmar Civil War, 1520-3""",,
Denmark,Sweden ,388,386,1,siege of stockholm,stockholm,Sweden ,Sweden ,1520,1520,1,0,0,siege,Denmark,,,,Sweden,,,,0,0,0,Denmark,1,2,"Clodfelter p. 21, ""Sixteenth Century - Eastern Europe - Kalmar Civil War, 1520-23""",,
Denmark,sweden,388,386,1,siege of stockholm,stockholm,sweden,sweden,1520,1520,1,0,0,siege,Denmark,,,,Sweden,,,,0,,0,Denmark,1,2,"Clodfelter p. 21, ""Sixteenth Century - Eastern Europe Kalmar Civil War, 1520-3""",,
Denmark,Sweden ,389,387,1,bath of blood,stockholm,Sweden ,Sweden ,1520,1520,1,0,0,battle,Denmark,,,,Sweden,,,,0,0,0,Denmark,1,2,"Clodfelter p. 21, ""Sixteenth Century - Eastern Europe - Kalmar Civil War, 1520-23""",,
Denmark,sweden,389,387,1,bath of blood,stockholm,sweden,sweden,1520,1520,1,0,0,battle,Denmark,,,,Sweden,,,,0,,0,Denmark,1,2,"Clodfelter p. 21, ""Sixteenth Century - Eastern Europe Kalmar Civil War, 1520-3""",,
Sweden,Sweden ,387,385,1,bogesand,ulricehamn,Sweden ,Sweden ,1520,1520,1,0,0,battle,Denmark,,,,Sweden,,,,0,0,0,Denmark,0,2,"Clodfelter p. 21, ""Sixteenth Century - Eastern Europe - Kalmar Civil War, 1520-23""",,
Sweden,sweden,387,385,1,bogesand,ulricehamn,sweden,sweden,1520,1520,1,0,0,battle,Denmark,,,,Sweden,,,,0,,0,Denmark,0,2,"Clodfelter p. 21, ""Sixteenth Century - Eastern Europe Kalmar Civil War, 1520-3""",,
Sweden,Sweden ,388,386,1,siege of stockholm,stockholm,Sweden ,Sweden ,1520,1520,1,0,0,siege,Denmark,,,,Sweden,,,,0,0,0,Denmark,0,2,"Clodfelter p. 21, ""Sixteenth Century - Eastern Europe - Kalmar Civil War, 1520-23""",,
Sweden,sweden,388,386,1,siege of stockholm,stockholm,sweden,sweden,1520,1520,1,0,0,siege,Denmark,,,,Sweden,,,,0,,0,Denmark,0,2,"Clodfelter p. 21, ""Sixteenth Century - Eastern Europe Kalmar Civil War, 1520-3""",,
Sweden,Sweden ,389,387,1,bath of blood,stockholm,Sweden ,Sweden ,1520,1520,1,0,0,battle,Denmark,,,,Sweden,,,,0,0,0,Denmark,0,2,"Clodfelter p. 21, ""Sixteenth Century - Eastern Europe - Kalmar Civil War, 1520-23""",,
Sweden,sweden,389,387,1,bath of blood,stockholm,sweden,sweden,1520,1520,1,0,0,battle,Denmark,,,,Sweden,,,,0,,0,Denmark,0,2,"Clodfelter p. 21, ""Sixteenth Century - Eastern Europe Kalmar Civil War, 1520-3""",,
Ottoman Empire,greece,390,388,1,rhodes,rhodes island,dodecanese islands,,1521,1521,1,0,0,siege,Ottoman Empire,,,,Knights Hospitaller,Venice,,,0,,0,Ottoman Empire,1,0,"Clodfelter p. 22-23, ""Sixteenth Century - Ottoman Empire - Ottoman-Hungarian War, 1521-26""","Knights Hospitaller consisted of knight of St. John, with knights from Spain, France, Germany, Italy, England and Portugal. ",
France,Italy,391,389,1,third milan,milan,lombardy,,1521,1521,1,0,0,siege,France,,,,Papal States,Austria,,,0,,0,"Papal States, Austria",0,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Ottoman Empire,serbia,392,390,1,belgrade,belgrade,serbia,,1521,1521,1,0,0,siege,Ottoman Empire,,,,Hungary,,,,0,,0,Ottoman Empire,1,0,"Clodfelter p. 22, ""Sixteenth Century - Ottoman Empire - Ottoman-Hungarian War, 1521-26""",,
Castile,Spain,393,391,1,villalar,villalar de los comuneros,castile y leon,Castile,1521,1521,1,0,0,battle,Castile,,,,Comuneros,,,,0,1,0,Castile,1,3,"Clodfelter p. 11, ""Sixteenth Century - Western Europe - Rebellions in Spain, 1520-70""",,
Knights Hospitaller,greece,390,388,1,rhodes,rhodes island,dodecanese islands,,1521,1521,1,0,0,siege,Ottoman Empire,,,,Knights Hospitaller,Venice,,,1,,0,Ottoman Empire,0,0,"Clodfelter p. 22-23, ""Sixteenth Century - Ottoman Empire - Ottoman-Hungarian War, 1521-26""","Knights Hospitaller consisted of knight of St. John, with knights from Spain, France, Germany, Italy, England and Portugal. ",
Papal States,Italy,391,389,1,third milan,milan,lombardy,,1521,1521,1,0,0,siege,France,,,,Papal States,Austria,,,1,,0,"Papal States, Austria",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Hungary,serbia,392,390,1,belgrade,belgrade,serbia,,1521,1521,1,0,0,siege,Ottoman Empire,,,,Hungary,,,,0,,0,Ottoman Empire,0,0,"Clodfelter p. 22, ""Sixteenth Century - Ottoman Empire - Ottoman-Hungarian War, 1521-26""",,
Comuneros,Spain,393,391,1,villalar,villalar de los comuneros,castile y leon,Castile,1521,1521,1,0,0,battle,Castile,,,,Comuneros,,,,0,1,0,Castile,0,3,"Clodfelter p. 11, ""Sixteenth Century - Western Europe - Rebellions in Spain, 1520-70""",,
Venice,greece,390,388,1,rhodes,rhodes island,dodecanese islands,,1521,1521,1,0,0,siege,Ottoman Empire,,,,Knights Hospitaller,Venice,,,1,,0,Ottoman Empire,0,0,"Clodfelter p. 22-23, ""Sixteenth Century - Ottoman Empire - Ottoman-Hungarian War, 1521-26""","Knights Hospitaller consisted of knight of St. John, with knights from Spain, France, Germany, Italy, England and Portugal. ",
Austria,Italy,391,389,1,third milan,milan,lombardy,,1521,1521,1,0,0,siege,France,,,,Papal States,Austria,,,1,,0,"Papal States, Austria",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
France,Italy,394,392,1,bicocca,bicocca,lombardy,,1522,1522,1,1,0,battle,France,Venice,,,Castile,Austria,Papal States,Milan,1,,0,"Castile, Austria, Papal States, Milan",0,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Venice,Italy,394,392,1,bicocca,bicocca,lombardy,,1522,1522,1,1,0,battle,France,Venice,,,Castile,Austria,Papal States,Milan,1,,0,"Castile, Austria, Papal States, Milan",0,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Castile,Italy,394,392,1,bicocca,bicocca,lombardy,,1522,1522,1,1,0,battle,France,Venice,,,Castile,Austria,Papal States,Milan,3,,0,"Castile, Austria, Papal States, Milan",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Austria,Italy,394,392,1,bicocca,bicocca,lombardy,,1522,1522,1,1,0,battle,France,Venice,,,Castile,Austria,Papal States,Milan,3,,0,"Castile, Austria, Papal States, Milan",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Papal States,Italy,394,392,1,bicocca,bicocca,lombardy,,1522,1522,1,1,0,battle,France,Venice,,,Castile,Austria,Papal States,Milan,3,,0,"Castile, Austria, Papal States, Milan",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Milan,Italy,394,392,1,bicocca,bicocca,lombardy,,1522,1522,1,1,0,battle,France,Venice,,,Castile,Austria,Papal States,Milan,3,,0,"Castile, Austria, Papal States, Milan",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Austria,germany,395,393,1,landstuhl,landstuhl,rhineland-palatinate,palatinate,1523,1523,1,0,0,siege,Austria,,,,Protestant Knights (Rebels),,,,0,,0,Austria,1,3,"Clodfelter p. 11, ""Sixteenth Century - Western Europe - German Reformation Wars, 1522-53""",These were Protestant Imperial (Austrian) knights that turned against Austria/HRE during the 1522-23 Knights War,
France,Italy,396,394,1,second novara,novara,piemonte,Piedmont,1523,1523,1,0,0,siege,France,Switzerland,,,Austria,,,,1,,1,,0,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Castile,Spain,397,395,1,palma,palma de mallorca,mallorca,aragon,1523,1523,1,0,0,siege,Castile,,,,Comuneros,Valencia,,,0,1,0,Castile,1,3,"Clodfelter p. 11, ""Sixteenth Century - Western Europe - Rebellions in Spain, 1520-70""",,
Denmark,Sweden ,398,396,1,danish surrender,stockholm,Sweden ,Sweden ,1523,1523,1,0,0,siege,Denmark,,,,Sweden,,,,0,1,0,Sweden,0,2,"Clodfelter p. 21, ""Sixteenth Century - Eastern Europe - Kalmar Civil War, 1520-23""",,
Denmark,sweden,398,396,1,danish surrender,stockholm,sweden,sweden,1523,1523,1,0,0,siege,Denmark,,,,Sweden,,,,0,,0,Sweden,0,2,"Clodfelter p. 21, ""Sixteenth Century - Eastern Europe Kalmar Civil War, 1520-3""",,
Switzerland,Italy,396,394,1,second novara,novara,piemonte,Piedmont,1523,1523,1,0,0,siege,France,Switzerland,,,Austria,,,,1,,1,,0,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Protestant Knights (Rebels),germany,395,393,1,landstuhl,landstuhl,rhineland-palatinate,palatinate,1523,1523,1,0,0,siege,Austria,,,,Protestant Knights (Rebels),,,,0,,0,Austria,0,3,"Clodfelter p. 11, ""Sixteenth Century - Western Europe - German Reformation Wars, 1522-53""",These were Protestant Imperial (Austrian) knights that turned against Austria/HRE during the 1522-23 Knights War,
Austria,Italy,396,394,1,second novara,novara,piemonte,Piedmont,1523,1523,1,0,0,siege,France,Switzerland,,,Austria,,,,0,,1,,0,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Comuneros,Spain,397,395,1,palma,palma de mallorca,mallorca,aragon,1523,1523,1,0,0,siege,Castile,,,,Comuneros,Valencia,,,1,1,0,Castile,0,3,"Clodfelter p. 11, ""Sixteenth Century - Western Europe - Rebellions in Spain, 1520-70""",,
Sweden,Sweden ,398,396,1,danish surrender,stockholm,Sweden ,Sweden ,1523,1523,1,0,0,siege,Denmark,,,,Sweden,,,,0,1,0,Sweden,1,2,"Clodfelter p. 21, ""Sixteenth Century - Eastern Europe - Kalmar Civil War, 1520-23""",,
Sweden,sweden,398,396,1,danish surrender,stockholm,sweden,sweden,1523,1523,1,0,0,siege,Denmark,,,,Sweden,,,,0,,0,Sweden,1,2,"Clodfelter p. 21, ""Sixteenth Century - Eastern Europe Kalmar Civil War, 1520-3""",,
Valencia,Spain,397,395,1,palma,palma de mallorca,mallorca,aragon,1523,1523,1,0,0,siege,Castile,,,,Comuneros,Valencia,,,1,1,0,Castile,0,3,"Clodfelter p. 11, ""Sixteenth Century - Western Europe - Rebellions in Spain, 1520-70""",,
France,France,399,397,1,marseille,marseille,bouches-du-rhône,France,1524,1524,1,0,0,siege,France,,,,Holy Roman Empire,,,,0,1,0,France,1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe"" ",,
France,Italy,400,398,1,sesia,novara,piemonte,Piedmont,1524,1524,1,0,0,battle,France,,,,Austria,Castile,,,0,,0,"Austria, Castile",0,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Austria,France,399,397,1,marseille,marseille,bouches-du-rhône,France,1524,1524,1,0,0,siege,France,,,,Holy Roman Empire,,,,0,1,0,France,0,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe"" ",,
Austria,Italy,400,398,1,sesia,novara,piemonte,Piedmont,1524,1524,1,0,0,battle,France,,,,Austria,Castile,,,1,,0,"Austria, Castile",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Castile,Italy,400,398,1,sesia,novara,piemonte,Piedmont,1524,1524,1,0,0,battle,France,,,,Austria,Castile,,,1,,0,"Austria, Castile",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Rebel Peasants,germany,401,399,1,weinsburg,weinsberg,baden,,1525,1525,1,0,0,battle,Rebel Peasants,,,,Austria,,,,0,,0,Rebel Peasants,1,1,"Clodfelter p. 11, ""Sixteenth Century - Western Europe - German Reformation Wars, 1522-53""","p. 11: ""Peasant adherants of Martin Luther rebelled in Swabia and Fraconia, and their insurrection soon spread to Hesse, Saxony, Thuringia and the Tyrol… In April 25 rebel bands led by Jacklein Rohrbach cut down the 40 men-at-arms defending the",
Rebel Peasants,germany,402,400,1,frankenhausen,bad frankenhausen,thuringia,,1525,1525,1,0,0,battle,Rebel Peasants,,,,Hesse,Saxony,Brunswick,,0,,0,"Hesse, Saxony, Brunswick",0,1,"Clodfelter p. 11, ""Sixteenth Century - Western Europe - German Reformation Wars, 1522-53""",,
France,Italy,403,401,1,siege of pavia,pavia,lombardia,,1525,1525,1,0,0,siege,France,,,,Castile,Austria,,,0,,0,"Castile, Austria",0,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
France,Italy,404,402,1,battle of pavia,pavia,lombardia,,1525,1525,1,1,0,battle,France,,,,Castile,Austria,,,0,,0,"Castile, Austria",0,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Austria,germany,401,399,1,weinsburg,weinsberg,baden,,1525,1525,1,0,0,battle,Rebel Peasants,,,,Austria,,,,0,,0,Rebel Peasants,0,1,"Clodfelter p. 11, ""Sixteenth Century - Western Europe - German Reformation Wars, 1522-53""","p. 11: ""Peasant adherants of Martin Luther rebelled in Swabia and Fraconia, and their insurrection soon spread to Hesse, Saxony, Thuringia and the Tyrol… In April 25 rebel bands led by Jacklein Rohrbach cut down the 40 men-at-arms defending the",
Hesse,germany,402,400,1,frankenhausen,bad frankenhausen,thuringia,,1525,1525,1,0,0,battle,Rebel Peasants,,,,Hesse,Saxony,Brunswick,,2,,0,"Hesse, Saxony, Brunswick",1,1,"Clodfelter p. 11, ""Sixteenth Century - Western Europe - German Reformation Wars, 1522-53""",,
Castile,Italy,403,401,1,siege of pavia,pavia,lombardia,,1525,1525,1,0,0,siege,France,,,,Castile,Austria,,,1,,0,"Castile, Austria",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Castile,Italy,404,402,1,battle of pavia,pavia,lombardia,,1525,1525,1,1,0,battle,France,,,,Castile,Austria,,,1,,0,"Castile, Austria",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Saxony,germany,402,400,1,frankenhausen,bad frankenhausen,thuringia,,1525,1525,1,0,0,battle,Rebel Peasants,,,,Hesse,Saxony,Brunswick,,2,,0,"Hesse, Saxony, Brunswick",1,1,"Clodfelter p. 11, ""Sixteenth Century - Western Europe - German Reformation Wars, 1522-53""",,
Austria,Italy,403,401,1,siege of pavia,pavia,lombardia,,1525,1525,1,0,0,siege,France,,,,Castile,Austria,,,1,,0,"Castile, Austria",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Austria,Italy,404,402,1,battle of pavia,pavia,lombardia,,1525,1525,1,1,0,battle,France,,,,Castile,Austria,,,1,,0,"Castile, Austria",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Brunswick,germany,402,400,1,frankenhausen,bad frankenhausen,thuringia,,1525,1525,1,0,0,battle,Rebel Peasants,,,,Hesse,Saxony,Brunswick,,2,,0,"Hesse, Saxony, Brunswick",1,1,"Clodfelter p. 11, ""Sixteenth Century - Western Europe - German Reformation Wars, 1522-53""",,
Ottoman Empire,Hungary ,405,403,1,mohacs,mohács,Hungary ,Hungary ,1526,1526,1,0,0,battle,Ottoman Empire,,,,Hungary,Croatia,Bohemia,"Austria, Bavaria, Papal States, Poland",0,0,0,Ottoman Empire,1,1,"Clodfelter p. 23, ""Sixteenth Century - Ottoman Empire - Ottoman-Hungarian war, 1521-26""",7 Belligerents on Side B,
Ottoman Empire,serbia,407,405,1,peterwardein,peterwardein,serbia,,1526,1526,1,0,0,siege,Ottoman Empire,,,,Hungary,,,,0,,0,Ottoman Empire,1,1,"Clodfelter p. 23, ""Sixteenth Century - Ottoman Empire - Ottoman-Hungarian War, 1521-26""",,
Hungary,Hungary ,405,403,1,mohacs,mohács,Hungary ,Hungary ,1526,1526,1,0,0,battle,Ottoman Empire,,,,Hungary,Croatia,Bohemia,"Austria, Bavaria, Papal States, Poland",6,0,0,Ottoman Empire,0,1,"Clodfelter p. 23, ""Sixteenth Century - Ottoman Empire - Ottoman-Hungarian war, 1521-26""",7 Belligerents on Side B,
Hungary,serbia,407,405,1,peterwardein,peterwardein,serbia,,1526,1526,1,0,0,siege,Ottoman Empire,,,,Hungary,,,,0,,0,Ottoman Empire,0,1,"Clodfelter p. 23, ""Sixteenth Century - Ottoman Empire - Ottoman-Hungarian War, 1521-26""",,
Croatia,Hungary ,405,403,1,mohacs,mohács,Hungary ,Hungary ,1526,1526,1,0,0,battle,Ottoman Empire,,,,Hungary,Croatia,Bohemia,"Austria, Bavaria, Papal States, Poland",6,0,0,Ottoman Empire,0,1,"Clodfelter p. 23, ""Sixteenth Century - Ottoman Empire - Ottoman-Hungarian war, 1521-26""",7 Belligerents on Side B,
Bohemia,Hungary ,405,403,1,mohacs,mohács,Hungary ,Hungary ,1526,1526,1,0,0,battle,Ottoman Empire,,,,Hungary,Croatia,Bohemia,"Austria, Bavaria, Papal States, Poland",6,0,0,Ottoman Empire,0,1,"Clodfelter p. 23, ""Sixteenth Century - Ottoman Empire - Ottoman-Hungarian war, 1521-26""",7 Belligerents on Side B,
Austria,Hungary ,405,403,1,mohacs,mohács,Hungary ,Hungary ,1526,1526,1,0,0,battle,Ottoman Empire,,,,Hungary,Croatia,Bohemia,"Austria, Bavaria, Papal States, Poland",6,0,0,Ottoman Empire,0,1,"Clodfelter p. 23, ""Sixteenth Century - Ottoman Empire - Ottoman-Hungarian war, 1521-26""",7 Belligerents on Side B,
Bavaria,Hungary ,405,403,1,mohacs,mohács,Hungary ,Hungary ,1526,1526,1,0,0,battle,Ottoman Empire,,,,Hungary,Croatia,Bohemia,"Austria, Bavaria, Papal States, Poland",6,0,0,Ottoman Empire,0,1,"Clodfelter p. 23, ""Sixteenth Century - Ottoman Empire - Ottoman-Hungarian war, 1521-26""",7 Belligerents on Side B,
Papal States,Hungary ,405,403,1,mohacs,mohács,Hungary ,Hungary ,1526,1526,1,0,0,battle,Ottoman Empire,,,,Hungary,Croatia,Bohemia,"Austria, Bavaria, Papal States, Poland",6,0,0,Ottoman Empire,0,1,"Clodfelter p. 23, ""Sixteenth Century - Ottoman Empire - Ottoman-Hungarian war, 1521-26""",7 Belligerents on Side B,
Poland,Hungary ,405,403,1,mohacs,mohács,Hungary ,Hungary ,1526,1526,1,0,0,battle,Ottoman Empire,,,,Hungary,Croatia,Bohemia,"Austria, Bavaria, Papal States, Poland",6,0,0,Ottoman Empire,0,1,"Clodfelter p. 23, ""Sixteenth Century - Ottoman Empire - Ottoman-Hungarian war, 1521-26""",7 Belligerents on Side B,
Austria,italy,408,406,1,rome,rome,lazio,papal states,1527,1527,1,0,0,battle,Austria,Castile,,,Papal States,,,,1,,0,"Austria, Castile",0,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Castile,italy,408,406,1,rome,rome,lazio,papal states,1527,1527,1,0,0,battle,Austria,Castile,,,Papal States,,,,1,,0,"Austria, Castile",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Papal States,italy,408,406,1,rome,rome,lazio,papal states,1527,1527,1,0,0,battle,Austria,Castile,,,Papal States,,,,0,,0,"Austria, Castile",0,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
France,Italy,409,407,1,second naples,naples,campania,Naples,1528,1528,1,0,0,siege,France,,,,Austria,Naples,,,0,,0,"Austria, Naples",0,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
France,Italy,410,408,1,genoa,genoa,liguria,,1528,1528,1,0,0,battle,France,,,,Genoa,,,,0,,0,Genoa,0,1,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
France,Italy,411,409,1,landriano,landriano,lombardia,,1528,1528,1,0,0,battle,France,Florence,Milan,,Castile,Austria,,,2,,0,"Castile, Austria",0,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Florence,Italy,411,409,1,landriano,landriano,lombardia,,1528,1528,1,0,0,battle,France,Florence,Milan,,Castile,Austria,,,2,,0,"Castile, Austria",0,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Milan,Italy,411,409,1,landriano,landriano,lombardia,,1528,1528,1,0,0,battle,France,Florence,Milan,,Castile,Austria,,,2,,0,"Castile, Austria",0,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Austria,Italy,409,407,1,second naples,naples,campania,Naples,1528,1528,1,0,0,siege,France,,,,Austria,Naples,,,1,,0,"Austria, Naples",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Genoa,Italy,410,408,1,genoa,genoa,liguria,,1528,1528,1,0,0,battle,France,,,,Genoa,,,,0,,0,Genoa,1,1,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Castile,Italy,411,409,1,landriano,landriano,lombardia,,1528,1528,1,0,0,battle,France,Florence,Milan,,Castile,Austria,,,1,,0,"Castile, Austria",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Naples,Italy,409,407,1,second naples,naples,campania,Naples,1528,1528,1,0,0,siege,France,,,,Austria,Naples,,,1,,0,"Austria, Naples",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Austria,Italy,411,409,1,landriano,landriano,lombardia,,1528,1528,1,0,0,battle,France,Florence,Milan,,Castile,Austria,,,1,,0,"Castile, Austria",1,2,"Clodfelter p. 9, ""Sixteenth Century - Western Europe - Italian wars, 1494-1559""",,
Austria,Austria,412,410,1,vienna,vienna,Austria,Austria,1529,1529,1,0,0,siege,Austria,Bohemia,Palatinate,Castile,Ottoman Empire,,,,3,,0,"Austria, Bohemia, Palatinate, Spain",1,1,"Clodfelter p. 24, ""Sixteenth Century  Ottoman Empire - Habsburg-Ottoman war, 1529-47""",,
Ottoman Empire,Hungary ,413,411,1,buda,budapest,Hungary ,Hungary ,1529,1531,3,0,0,siege,Ottoman Empire,,,,Austria,,,,0,,0,Ottoman Empire,1,1,"Clodfelter p. 23, ""Sixteenth Century - Ottoman Empire - Habsburg-ottoman War, 1529-47""",,
Bohemia,Austria,412,410,1,vienna,vienna,Austria,Austria,1529,1529,1,0,0,siege,Austria,Bohemia,Palatinate,Castile,Ottoman Empire,,,,3,,0,"Austria, Bohemia, Palatinate, Spain",1,1,"Clodfelter p. 24, ""Sixteenth Century  Ottoman Empire - Habsburg-Ottoman war, 1529-47""",,
Palatinate,Austria,412,410,1,vienna,vienna,Austria,Austria,1529,1529,1,0,0,siege,Austria,Bohemia,Palatinate,Castile,Ottoman Empire,,,,3,,0,"Austria, Bohemia, Palatinate, Spain",1,1,"Clodfelter p. 24, ""Sixteenth Century  Ottoman Empire - Habsburg-Ottoman war, 1529-47""",,
Castile,Austria,412,410,1,vienna,vienna,Austria,Austria,1529,1529,1,0,0,siege,Austria,Bohemia,Palatinate,Castile,Ottoman Empire,,,,3,,0,"Austria, Bohemia, Palatinate, Spain",0,1,"Clodfelter p. 24, ""Sixteenth Century  Ottoman Empire - Habsburg-Ottoman war, 1529-47""",,
Ottoman Empire,Austria,412,410,1,vienna,vienna,Austria,Austria,1529,1529,1,0,0,siege,Austria,Bohemia,Palatinate,Castile,Ottoman Empire,,,,0,,0,"Austria, Bohemia, Palatinate, Spain",0,1,"Clodfelter p. 24, ""Sixteenth Century  Ottoman Empire - Habsburg-Ottoman war, 1529-47""",,
